route_short_name,delay_p000,delay_p010,delay_p025,delay_p050,delay_p075,delay_p090,delay_p100,end_delay_p000,end_delay_p010,end_delay_p025,end_delay_p050,end_delay_p075,end_delay_p090,end_delay_p100,num_delays,num_end_delays,route_id,route_long_name,num_stop_times,num_trips
005,-779.0,-124.5,30.25,144.0,376.25,641.5,1662.0,-779.0,-556.4,-396.0,-75.5,310.0,570.2000000000004,1223.0,1526,92,route_001,Britomart To Pt Chevalier Via Westmere,2808,108
007,-1510.0,-65.0,66.0,221.0,424.0,677.0,1781.0,-1510.0,-611.0,-360.25,-76.5,268.75,721.5,1781.0,20841,466,route_002,Pt Chevalier To Glen Innes,47186,598
008,-1787.0,-53.0,46.0,176.0,369.0,585.0,1656.0,-907.0,-287.2,-104.5,94.0,339.0,557.6000000000004,1347.0,14617,447,route_003,Otahuhu To New Lynn,27592,472
009,-1019.0,-16.0,70.0,174.0,315.0,502.0,1738.0,-1019.0,-458.0,-282.0,-75.0,104.0,304.79999999999995,1133.0,12256,449,route_004,Sylvia Park To New Lynn (No Stop On Donavon St By Countdown),25750,458
010,-1432.0,-225.0,17.0,175.0,356.0,561.0,1730.0,-1424.0,-708.0,-411.25,-165.5,83.0,231.0,1499.0,5929,156,route_005,Wynyard Quarter To Onehunga Via Unitec,11772,216
011,-334.0,-7.0,41.0,114.5,219.25,330.0,1070.0,-334.0,-191.70000000000002,-107.0,21.5,133.25,288.90000000000003,1016.0,1016,68,route_006,St Lukes to Onehunga,2196,72
020,-1431.0,-218.0,-65.0,39.0,150.0,337.0,1768.0,-903.0,-390.9,-240.75,-72.0,138.0,381.5999999999997,1685.0,12116,762,route_007,Britomart To Westmere Via Wellington St,25804,890
020X,-1177.0,-30.0,36.0,117.0,275.0,759.0,1794.0,-1177.0,-467.5,-110.75,20.0,196.0,705.2999999999994,1383.0,681,52,route_008,Britomart To Westmere Express,1320,60
027,-379.0,112.20000000000002,212.5,362.0,618.5,790.0000000000001,1041.0,-379.0,-153.0,177.5,409.0,635.0,965.0,1041.0,223,11,route_009,Stanmore Bay To Long Bay,426,12
030,-1106.0,-407.0999999999999,-149.0,32.0,153.0,274.10000000000036,1800.0,-961.0,-641.0,-498.5,-325.0,-112.0,164.0,1735.0,8380,591,route_010,Pt Chevalier To City Centre,19610,666
046,-653.0,-505.4,-361.5,6.0,52.0,94.59999999999991,307.0,-653.0,-603.8,-530.0,-438.5,-361.5,-313.8,-282.0,10,4,route_011,St Josephs To Silverdale Express,18,6
048,-865.0,-298.0,-19.0,78.0,213.0,465.5999999999999,1421.0,-757.0,-564.4,-304.75,-39.0,167.5,353.0,955.0,1413,74,route_012,City Centre To Te Atatu Peninsula Complete Loop,2830,80
049,-1162.0,-359.0,-125.0,48.0,198.0,372.40000000000055,1747.0,-1119.0,-627.0,-399.75,-136.5,100.0,357.69999999999993,1478.0,8887,250,route_013,Henderson to City Centre Via Te Atatu Peninsula,18682,320
04X,-1764.0,-1282.8,-883.0,-461.0,29.0,102.80000000000001,936.0,-1726.0,-1389.8,-1133.0,-674.0,-247.5,134.60000000000053,646.0,463,39,route_014,Te Atatu Peninsula To City Centre Express,798,42
060,-1389.0,-241.79999999999995,-37.0,104.0,253.0,484.60000000000036,1414.0,-1389.0,-803.5,-553.75,-180.0,4.0,171.5,1414.0,3453,106,route_015,Westgate To Helensville,7272,144
