datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,Grafton Gully,Great North Rd City Bound,Great Nth Rd Sth Side,HighBrook,Hopetoun Street,Lake Road SB New,Mangere Safe Routes,Matakana,Nelson Street,Nelson Street Lightpath bikes 8 loop,Nelson Street Lightpath Counter,NW Cycleway Kingsland,NW Cycleway TeAtatu,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Saint Lukes Rd NB,Saint Lukes Rd SB,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path
2017-01-31,10513,5807,7575.0,,,11730,3555,,1176,3628,,1371,,11345,15522,12691.0,22503,19685,13612.0,,,,8396,21611,29039,,,5836,3972,1644,1550.0
2017-02-28,10928,6870,6925.0,,,12476,3894,,1418,4688,,1589,,12022,13947,12342.0,25999,21099,10846.0,,,,8169,21217,28577,,,4108,4385,1872,1464.0
2017-03-31,12041,8387,6623.0,,,14160,4180,,1288,5435,6991.0,1519,,11328,10315,9026.0,27411,20943,10246.0,,,,7889,20443,27002,,,4214,5255,2070,1424.0
2017-04-30,9351,5821,6596.0,,,10688,3222,,1040,3927,5332.0,1199,,10594,13948,11359.0,20991,19048,11598.0,,,,7364,18638,25128,,,3935,3860,1512,1380.0
2017-05-31,10151,7772,5605.0,,,11986,3657,,1112,4781,6493.0,1243,,12231,14229,7419.0,24418,18713,8968.0,,,,7443,17556,23435,1638.0,1120.0,2698,4494,1804,1262.0
2017-06-30,8911,6425,4780.0,,,10026,3268,3597.0,1042,4133,6122.0,1139,,9122,7730,0.0,20126,15806,8062.0,,,,6469,14718,21044,2883.0,2029.0,2470,4245,1574,1260.0
2017-07-31,7144,5024,3789.0,,925.0,8308,2779,4410.0,847,3451,4013.0,962,,8721,10381,,17013,13619,7407.0,,,,5769,12607,17672,2467.0,1732.0,2073,3131,1210,1032.0
2017-08-31,8113,6009,4596.0,3112.0,4373.0,10134,3356,4351.0,1031,4167,5445.0,1075,,10397,11693,,20534,15556,6939.0,,,,6415,14767,20627,3063.0,2127.0,2228,3954,1300,1185.0
2017-09-30,8265,5617,5204.0,4142.0,3964.0,9162,3035,3431.0,924,4029,5136.0,1328,,9971,11636,,19738,14798,7461.0,,,,6188,14232,19547,2871.0,1874.0,2374,3725,1309,1310.0
2017-10-31,9232,6153,5501.0,4602.0,4570.0,10920,3413,3578.0,937,4087,5520.0,983,,11795,13756,,23596,17695,8973.0,,,,7232,16484,23150,3320.0,2280.0,3276,4350,1489,1523.0
2017-11-30,10862,7201,7251.0,5524.0,5643.0,12495,4080,3954.0,1270,5025,7385.0,1026,214.0,14986,16271,,28158,20869,9013.0,384.0,421.0,116.0,8298,23092,31124,4040.0,2615.0,3684,5077,1761,1496.0
2017-12-31,10216,5999,7404.0,4445.0,4423.0,10966,3642,4010.0,1223,4330,6587.0,1501,1144.0,13246,15565,11617.0,24008,20413,9526.0,773.0,811.0,412.0,8369,23109,32321,3512.0,2338.0,5923,4601,1726,1820.0
