Variable Name,Description,,,
crash_year,"The year in which a crash occurred, if known. ",,,
crash_sev,"The severity of a crash. Possible values are 'F' (fatal), 'S' (serious), 'M' (minor). This is determined by the worst injury sustained in the crash at time of entry.",,,
fatal_count,A count of the number of fatal casualties associated with this crash.,,,
seriousinj_count,A count of the number of serious injuries (inj) associated with this crash.,,,
minorinj_count,A count of the number of minor injuries (inj) associated with this crash.,,,
multi_veh,Indicates if a crash involved a 'Single Vehicle' or 'Multiple Vehicles'.,,,
holiday,"Indicates where a crash occurred during a 'Christmas/New Year', 'Easter', 'Queens Birthday' or 'Labour Weekend' holiday period, otherwise 'None'. ",,,
lg_region_desc,Identifies the local government (LG) region. The boundaries match territorial local authority (TLA) boundaries in most places. A blank cell occurs where the crash is said to have occurred in a particular TLA and the LG boundaries do not match.,,,
tla_id,The unique identifier for a territorial local authority (TLA). Each crash is assigned a TLA based on where the crash occurred.,,,
tla_name,The name of the territorial local authority (TLA) the crash has been attributed.,,,
au_id,The unique identifier of an area unit.,,,
mb_id,The unique identifier of a meshblock.,,,
easting,The easting coordinate of an object (usually a crash) expressed in NZMG ref. to the WGS84 datum to a precision of 1m.,,,
northing,The northing coordinate of an object (usually a crash) expressed in NZMG referred to the WGS84 datum to a precision of 1m.,,,
crash_locn1,"Part 1 of the 'crash location' (crash_locn). May be a road name, route position (RP), landmark, or other, e.g. 'Ninety Mile Beach'. Used for location descriptions in reports etc.",,,
crash_locn2,"Part 2 of the 'crash location' (crash_locn). May be a side road name, landmark etc. Used for location descriptions in reports etc.",,,
outdtd_locn_desc,"Indicates if the location  for this crash is an 'Outdated Location'(outdtd_locn) or 'Current location'. A crash is said to have an 'Outdated location' where  the road might have moved, or does not exist anymore. ",,,
crash_rp_rs,The 'reference station' (RS) for the 'route position' (RP) of a crash.,,,
intersection,"Indicate if a crash happened at an 'Intersection', 'At Landmark' or 'Unknown'.",,,
junction_type,"The type of junction the crash happened at. Possible road junctions include ‘Driveway’, ‘Roundabout’, ‘X Type Junction’, 'T Type Junction', 'Y Type Junction', or 'Multi Road Join'. The junction type may also be unknown. Please note, crashes that did not occur at a junction are also given a value of unknown. ",,,
cr_rd_side_rd,Indicates whether the principal vehicle in a crash was on the crash road (cr_rd) [1] or side road (sd_rd) [2] at the time of the crash. Note that 'on side road' (2)  can only happen if the crash occurred at an intersection.,,,
crash_dirn_desc,"The direction (dirn) of the crash from the reference point. Values possible are 'North', 'East', 'South' or 'West'.",,,
crash_dist,The distance (dist) of the crash from the reference point for the crash. The reference point is often the intersection of 'crash road' and 'side road' (refer to 'cr_rd_sd_rd' variable).,,,
crash_rp_dirn_desc,"Indicates the direction of travel (where known) on a State Highway (SH) with respect to the highway origin. Possible values include 'Increasing' where the crash occurred in increasing distance from SH origin, 'Decreasing' where the crash occurred in decreasing distance to the SH origin, or blank. ",,,
dirn_role1_desc,"The direction (dirn) of the principal vehicle involved in the crash. Possible values are North, South, East or West.",,,
crash_rp_disp,The displacement (disp) of the crash from a reference station (RS). Part of the crash route position (RP).,,,
crash_sh_desc,"Indicates where a crash is reported to have occurred on a State Highway (SH). Possible values include 'Yes' where the crash occurred on a SH, otherwise 'No'.",,,
crash_rp_sh,The State Highway (SH) on which a crash occurred. This is part of a 'route position' (RP) for the crash. Possible values can be any valid natural SH designation reference (e.g. '1N' is SH1 in the North Island.).,,, 
crash_rp_news_desc,"Where the crash occurred on a median-divided State Highway (SH), this flag indicates which side of the median the crash happened. Values 'Northbound', 'Southbound, 'Eastbound' or 'Westbound'.",,,
intsn_midblock,"A derived variable to indicate if a crash occured at an intersection (intsn) or not. The 'intsn_midblock' variable is calculated using the 'intersection' and 'junction_type' variables. Values are  'Intersection' (where intersection variable = 'Intersection' or {'Intersection' = 'At Landmark' and junction_type is not in ('Unknown' or 'Driveway')} OR {Intersection = 'Unknown' and crash_dist <= 10}), otherwise 'Midblock' for crashes not meeting the criteria for 'Intersection').",,, 
